UserID,SessionTime,ProductID,Category,Event,NotificationType,NotificationTime,Response
3734,2024-03-06 04:10:00,707,Clothing,Viewed,Discount,2024-03-06 02:47:00,Yes
4005,2024-02-29 03:41:00,928,Electronics,Viewed,Discount,2024-02-29 03:25:00,No
5658,2024-03-04 20:04:00,625,Clothing,Viewed,New Arrival,2024-03-04 18:41:00,No
2899,2024-02-19 14:26:00,724,Books,Viewed,New Arrival,2024-02-19 13:14:00,No
8734,2024-02-08 04:27:00,176,Clothing,Viewed,Reminder,2024-02-08 04:16:00,No
2267,2024-01-21 01:33:00,376,Clothing,Viewed,New Arrival,2024-01-21 01:08:00,No
2528,2024-02-10 21:18:00,565,Clothing,Viewed,Discount,2024-02-10 19:58:00,No
4556,2024-02-23 15:16:00,547,Electronics,Viewed,Reminder,2024-02-23 14:06:00,No
4890,2024-01-26 07:43:00,419,Grocery,Viewed,New Arrival,2024-01-26 06:29:00,No
9838,2024-03-14 16:13:00,259,Clothing,Viewed,Reminder,2024-03-14 14:36:00,No
6393,2024-03-20 03:00:00,591,Electronics,Viewed,Reminder,2024-03-20 02:53:00,Yes
9792,2024-01-01 14:11:00,412,Electronics,Viewed,New Arrival,2024-01-01 12:58:00,Yes
9433,2024-03-10 01:38:00,730,Grocery,Viewed,Discount,2024-03-10 00:31:00,Yes
8513,2024-03-14 08:20:00,260,Electronics,Viewed,Discount,2024-03-14 07:55:00,No
3612,2024-01-15 12:46:00,407,Books,Viewed,Reminder,2024-01-15 11:09:00,Yes
8041,2024-03-04 13:06:00,962,Books,Viewed,New Arrival,2024-03-04 12:05:00,Yes
7235,2024-02-08 11:12:00,245,Books,Viewed,New Arrival,2024-02-08 10:07:00,No
6486,2024-01-31 23:17:00,774,Grocery,Viewed,Discount,2024-01-31 21:22:00,No
8099,2024-01-26 07:01:00,495,Electronics,Viewed,New Arrival,2024-01-26 06:58:00,Yes
1775,2024-01-15 03:39:00,790,Books,Viewed,New Arrival,2024-01-15 03:23:00,No
9226,2024-01-20 14:21:00,188,Clothing,Viewed,Reminder,2024-01-20 12:56:00,No
4152,2024-03-28 03:03:00,834,Electronics,Viewed,New Arrival,2024-03-28 01:03:00,No
2585,2024-03-10 11:52:00,877,Books,Viewed,New Arrival,2024-03-10 10:43:00,No
4943,2024-01-31 15:18:00,850,Electronics,Viewed,New Arrival,2024-01-31 14:54:00,Yes
8555,2024-01-10 07:16:00,407,Books,Viewed,Discount,2024-01-10 07:13:00,No
4073,2024-01-09 10:36:00,645,Clothing,Viewed,Discount,2024-01-09 10:00:00,No
2021,2024-02-04 13:57:00,470,Electronics,Viewed,Reminder,2024-02-04 12:16:00,No
4843,2024-01-09 19:16:00,550,Books,Viewed,Discount,2024-01-09 18:49:00,No
8989,2024-02-02 16:12:00,266,Books,Viewed,Discount,2024-02-02 15:40:00,No
7873,2024-03-18 03:22:00,491,Clothing,Viewed,Discount,2024-03-18 01:35:00,Yes
6675,2024-02-01 07:22:00,736,Clothing,Viewed,Discount,2024-02-01 05:51:00,Yes
1161,2024-02-24 22:51:00,835,Books,Viewed,Reminder,2024-02-24 21:03:00,No
5297,2024-01-25 01:51:00,590,Books,Viewed,New Arrival,2024-01-24 23:57:00,Yes
1995,2024-03-14 11:11:00,249,Grocery,Viewed,New Arrival,2024-03-14 09:56:00,No
8629,2024-01-04 22:55:00,567,Grocery,Viewed,New Arrival,2024-01-04 21:58:00,Yes
2016,2024-03-07 10:07:00,800,Electronics,Viewed,Reminder,2024-03-07 09:56:00,Yes
8869,2024-02-11 19:37:00,142,Electronics,Viewed,Discount,2024-02-11 17:53:00,No
7439,2024-02-18 19:24:00,128,Grocery,Viewed,Reminder,2024-02-18 18:15:00,No
8892,2024-01-12 08:41:00,973,Books,Viewed,Reminder,2024-01-12 07:23:00,No
7863,2024-03-29 13:48:00,731,Clothing,Viewed,Reminder,2024-03-29 13:06:00,No
8916,2024-03-24 22:47:00,948,Electronics,Viewed,New Arrival,2024-03-24 21:55:00,No
9529,2024-02-04 10:55:00,130,Books,Viewed,Discount,2024-02-04 09:39:00,No
1878,2024-01-08 04:08:00,792,Clothing,Viewed,New Arrival,2024-01-08 04:02:00,No
5887,2024-02-20 05:57:00,773,Clothing,Viewed,Reminder,2024-02-20 04:54:00,No
5859,2024-01-27 16:27:00,227,Books,Viewed,Reminder,2024-01-27 14:36:00,Yes
7331,2024-03-16 11:51:00,866,Books,Viewed,New Arrival,2024-03-16 09:51:00,No
9571,2024-02-27 05:17:00,393,Electronics,Viewed,New Arrival,2024-02-27 05:14:00,No
9684,2024-02-26 07:10:00,540,Grocery,Viewed,New Arrival,2024-02-26 06:26:00,No
8208,2024-03-21 14:17:00,968,Books,Viewed,Discount,2024-03-21 13:21:00,No
6276,2024-03-19 10:25:00,487,Grocery,Viewed,New Arrival,2024-03-19 10:01:00,No
3062,2024-02-02 22:00:00,865,Electronics,Viewed,Discount,2024-02-02 21:06:00,No
1064,2024-02-22 13:14:00,741,Grocery,Viewed,Discount,2024-02-22 13:10:00,Yes
9006,2024-01-18 12:03:00,623,Grocery,Viewed,New Arrival,2024-01-18 10:12:00,Yes
3568,2024-03-05 03:09:00,646,Clothing,Viewed,Reminder,2024-03-05 02:01:00,Yes
6463,2024-01-07 07:56:00,809,Electronics,Viewed,Reminder,2024-01-07 07:15:00,Yes
3027,2024-01-05 04:06:00,859,Books,Viewed,Discount,2024-01-05 03:17:00,Yes
3695,2024-03-01 04:33:00,209,Grocery,Viewed,Discount,2024-03-01 04:00:00,No
6258,2024-01-21 17:51:00,427,Electronics,Viewed,Discount,2024-01-21 17:39:00,Yes
6618,2024-03-11 08:47:00,504,Clothing,Viewed,Reminder,2024-03-11 08:32:00,No
7736,2024-01-27 08:10:00,344,Clothing,Viewed,Discount,2024-01-27 07:57:00,Yes
1391,2024-03-30 16:14:00,861,Grocery,Viewed,Discount,2024-03-30 15:04:00,Yes
6892,2024-01-08 06:18:00,977,Grocery,Viewed,Reminder,2024-01-08 05:56:00,Yes
4561,2024-03-18 20:28:00,928,Books,Viewed,New Arrival,2024-03-18 19:51:00,No
7184,2024-01-22 04:32:00,262,Electronics,Viewed,Reminder,2024-01-22 04:13:00,No
4099,2024-03-19 20:51:00,659,Books,Viewed,New Arrival,2024-03-19 20:27:00,Yes
7278,2024-01-10 04:38:00,498,Books,Viewed,New Arrival,2024-01-10 04:05:00,Yes
9392,2024-02-04 14:23:00,682,Clothing,Viewed,Discount,2024-02-04 12:44:00,Yes
4104,2024-01-26 07:14:00,498,Electronics,Viewed,Discount,2024-01-26 07:02:00,No
8215,2024-02-11 06:29:00,592,Books,Viewed,New Arrival,2024-02-11 06:09:00,No
3454,2024-02-27 20:40:00,745,Clothing,Viewed,Discount,2024-02-27 20:00:00,No
9996,2024-03-16 22:08:00,338,Grocery,Viewed,New Arrival,2024-03-16 21:15:00,Yes
3731,2024-02-03 04:59:00,564,Books,Viewed,Discount,2024-02-03 03:32:00,Yes
9154,2024-01-15 19:19:00,679,Grocery,Viewed,Reminder,2024-01-15 18:57:00,Yes
6056,2024-02-03 16:40:00,889,Electronics,Viewed,New Arrival,2024-02-03 16:32:00,Yes
9110,2024-02-02 08:06:00,131,Books,Viewed,New Arrival,2024-02-02 06:47:00,Yes
4840,2024-01-20 01:40:00,222,Grocery,Viewed,Discount,2024-01-20 00:58:00,Yes
2028,2024-03-02 00:01:00,633,Grocery,Viewed,Reminder,2024-03-01 23:37:00,No
8385,2024-01-25 07:13:00,766,Electronics,Viewed,Discount,2024-01-25 07:09:00,Yes
1502,2024-03-04 21:08:00,209,Clothing,Viewed,Reminder,2024-03-04 19:36:00,No
7910,2024-03-26 06:09:00,370,Clothing,Viewed,Discount,2024-03-26 06:01:00,Yes
7938,2024-03-03 05:13:00,479,Books,Viewed,New Arrival,2024-03-03 04:34:00,No
5488,2024-02-28 23:39:00,399,Grocery,Viewed,Reminder,2024-02-28 22:49:00,No
1206,2024-01-07 11:58:00,726,Clothing,Viewed,Reminder,2024-01-07 11:45:00,Yes
6134,2024-02-25 10:40:00,831,Books,Viewed,Discount,2024-02-25 09:59:00,No
6977,2024-02-27 19:07:00,841,Grocery,Viewed,Reminder,2024-02-27 18:48:00,No
8721,2024-01-16 13:51:00,863,Books,Viewed,Discount,2024-01-16 12:58:00,Yes
8035,2024-02-18 14:50:00,348,Electronics,Viewed,Reminder,2024-02-18 12:55:00,Yes
2484,2024-03-07 08:48:00,620,Books,Viewed,Discount,2024-03-07 08:06:00,No
8858,2024-01-23 06:47:00,133,Electronics,Viewed,Discount,2024-01-23 06:13:00,No
1863,2024-01-15 20:57:00,327,Grocery,Viewed,Discount,2024-01-15 20:08:00,Yes
3790,2024-02-12 01:49:00,684,Grocery,Viewed,New Arrival,2024-02-12 00:03:00,Yes
8408,2024-02-04 12:55:00,498,Grocery,Viewed,Reminder,2024-02-04 10:59:00,No
9755,2024-01-25 13:42:00,912,Books,Viewed,New Arrival,2024-01-25 13:26:00,Yes
6116,2024-03-25 05:32:00,823,Grocery,Viewed,New Arrival,2024-03-25 05:25:00,No
7019,2024-02-28 06:06:00,683,Grocery,Viewed,New Arrival,2024-02-28 05:40:00,Yes
2757,2024-03-03 15:18:00,669,Electronics,Viewed,New Arrival,2024-03-03 14:47:00,No
8574,2024-02-20 16:40:00,319,Grocery,Viewed,Reminder,2024-02-20 15:03:00,Yes
7374,2024-01-20 23:45:00,470,Grocery,Viewed,Reminder,2024-01-20 22:28:00,Yes
7892,2024-03-03 07:33:00,886,Grocery,Viewed,New Arrival,2024-03-03 06:17:00,No
2678,2024-01-30 12:24:00,860,Clothing,Viewed,Reminder,2024-01-30 11:53:00,Yes
4242,2024-03-17 17:14:00,627,Grocery,Viewed,Reminder,2024-03-17 16:10:00,Yes
5636,2024-03-10 22:24:00,174,Books,Viewed,Discount,2024-03-10 21:18:00,No
2059,2024-03-11 15:11:00,717,Electronics,Viewed,Reminder,2024-03-11 13:34:00,Yes
7668,2024-01-06 02:11:00,235,Grocery,Viewed,New Arrival,2024-01-06 01:06:00,Yes
4157,2024-01-21 20:21:00,173,Books,Viewed,Reminder,2024-01-21 19:31:00,No
6915,2024-03-15 19:15:00,353,Electronics,Viewed,New Arrival,2024-03-15 19:00:00,No
3693,2024-01-03 22:07:00,117,Electronics,Viewed,Reminder,2024-01-03 21:32:00,No
4627,2024-03-14 06:38:00,142,Books,Viewed,New Arrival,2024-03-14 06:30:00,No
6450,2024-01-29 17:07:00,149,Books,Viewed,Reminder,2024-01-29 16:26:00,No
2663,2024-02-06 12:21:00,614,Clothing,Viewed,Reminder,2024-02-06 11:21:00,No
6592,2024-01-25 08:53:00,843,Clothing,Viewed,Reminder,2024-01-25 07:42:00,No
8392,2024-01-07 00:35:00,830,Grocery,Viewed,New Arrival,2024-01-06 23:42:00,No
2306,2024-01-20 04:53:00,670,Clothing,Viewed,Discount,2024-01-20 04:44:00,No
7776,2024-03-24 02:46:00,895,Books,Viewed,New Arrival,2024-03-24 01:44:00,No
6864,2024-03-26 19:49:00,913,Clothing,Viewed,Reminder,2024-03-26 19:45:00,No
8526,2024-02-21 15:01:00,675,Electronics,Viewed,New Arrival,2024-02-21 14:08:00,Yes
9901,2024-03-20 18:27:00,681,Books,Viewed,Reminder,2024-03-20 17:05:00,No
6575,2024-03-06 08:18:00,402,Grocery,Viewed,Reminder,2024-03-06 07:48:00,No
6530,2024-01-29 15:25:00,241,Electronics,Viewed,Discount,2024-01-29 13:28:00,Yes
5413,2024-01-20 08:29:00,301,Electronics,Viewed,Reminder,2024-01-20 06:35:00,Yes
4748,2024-02-29 15:49:00,306,Electronics,Viewed,Reminder,2024-02-29 15:46:00,No
1663,2024-02-15 10:35:00,514,Books,Viewed,Reminder,2024-02-15 10:00:00,No
2998,2024-02-06 00:16:00,320,Books,Viewed,Discount,2024-02-05 23:05:00,Yes
8994,2024-03-21 12:37:00,461,Grocery,Viewed,New Arrival,2024-03-21 11:21:00,No
2495,2024-03-24 05:51:00,857,Clothing,Viewed,Discount,2024-03-24 04:24:00,No
4304,2024-02-28 12:19:00,180,Clothing,Viewed,New Arrival,2024-02-28 12:06:00,Yes
4763,2024-02-11 18:22:00,862,Clothing,Viewed,Reminder,2024-02-11 17:50:00,No
6232,2024-01-14 00:06:00,662,Clothing,Viewed,New Arrival,2024-01-13 22:28:00,No
2853,2024-01-25 02:38:00,384,Electronics,Viewed,New Arrival,2024-01-25 01:26:00,No
7585,2024-01-13 17:01:00,468,Books,Viewed,New Arrival,2024-01-13 15:37:00,No
2291,2024-01-23 10:45:00,591,Clothing,Viewed,New Arrival,2024-01-23 09:04:00,No
4581,2024-03-08 19:27:00,995,Electronics,Viewed,Reminder,2024-03-08 19:10:00,No
8554,2024-02-21 02:19:00,445,Books,Viewed,Discount,2024-02-21 01:40:00,No
8280,2024-02-19 01:24:00,303,Books,Viewed,New Arrival,2024-02-19 00:11:00,No
2636,2024-01-24 21:58:00,124,Books,Viewed,Reminder,2024-01-24 21:05:00,No
4696,2024-03-08 23:52:00,652,Electronics,Viewed,Reminder,2024-03-08 22:54:00,No
1698,2024-02-23 05:02:00,168,Clothing,Viewed,Reminder,2024-02-23 04:51:00,No
5737,2024-02-08 23:55:00,615,Books,Viewed,Reminder,2024-02-08 22:06:00,No
1854,2024-03-22 17:19:00,591,Electronics,Viewed,New Arrival,2024-03-22 15:57:00,No
9164,2024-02-23 02:44:00,339,Books,Viewed,Discount,2024-02-23 01:39:00,Yes
6855,2024-02-06 08:30:00,460,Grocery,Viewed,Reminder,2024-02-06 08:03:00,No
8392,2024-02-02 22:47:00,540,Grocery,Viewed,Discount,2024-02-02 21:06:00,No
7528,2024-01-20 23:06:00,130,Electronics,Viewed,Discount,2024-01-20 22:47:00,Yes
6249,2024-01-13 14:11:00,998,Clothing,Viewed,Discount,2024-01-13 13:23:00,Yes
6172,2024-02-16 09:04:00,728,Clothing,Viewed,Reminder,2024-02-16 07:54:00,Yes
2707,2024-02-14 22:06:00,806,Books,Viewed,Reminder,2024-02-14 21:44:00,Yes
6791,2024-01-09 06:35:00,701,Clothing,Viewed,Reminder,2024-01-09 04:54:00,No
6535,2024-03-09 19:01:00,789,Clothing,Viewed,Discount,2024-03-09 18:29:00,No
5931,2024-01-05 06:55:00,756,Grocery,Viewed,Reminder,2024-01-05 05:46:00,No
4510,2024-03-19 09:06:00,813,Electronics,Viewed,Reminder,2024-03-19 08:11:00,Yes
1202,2024-01-10 23:31:00,421,Grocery,Viewed,Discount,2024-01-10 21:34:00,Yes
5218,2024-01-14 21:53:00,443,Electronics,Viewed,Reminder,2024-01-14 20:41:00,No
9958,2024-02-27 02:40:00,814,Books,Viewed,New Arrival,2024-02-27 01:42:00,Yes
5389,2024-01-15 13:29:00,635,Grocery,Viewed,New Arrival,2024-01-15 13:23:00,No
3327,2024-03-13 02:19:00,454,Electronics,Viewed,New Arrival,2024-03-13 02:18:00,Yes
9004,2024-03-02 22:32:00,570,Clothing,Viewed,New Arrival,2024-03-02 20:47:00,Yes
3931,2024-02-08 10:13:00,204,Electronics,Viewed,Discount,2024-02-08 09:13:00,No
8777,2024-02-24 06:52:00,886,Clothing,Viewed,Reminder,2024-02-24 05:05:00,No
1197,2024-01-06 18:46:00,421,Books,Viewed,New Arrival,2024-01-06 17:26:00,No
8125,2024-02-05 00:32:00,671,Clothing,Viewed,New Arrival,2024-02-04 23:54:00,No
2930,2024-02-04 17:39:00,982,Electronics,Viewed,Reminder,2024-02-04 16:15:00,Yes
7287,2024-02-24 05:44:00,626,Grocery,Viewed,Discount,2024-02-24 05:22:00,No
9800,2024-02-12 14:28:00,603,Electronics,Viewed,New Arrival,2024-02-12 14:27:00,No
5282,2024-02-18 03:52:00,184,Grocery,Viewed,Reminder,2024-02-18 03:44:00,No
3511,2024-01-23 21:13:00,808,Electronics,Viewed,Reminder,2024-01-23 19:13:00,No
1659,2024-03-29 09:21:00,334,Electronics,Viewed,New Arrival,2024-03-29 07:23:00,Yes
3811,2024-02-20 08:32:00,955,Books,Viewed,New Arrival,2024-02-20 07:30:00,No
8098,2024-03-19 08:24:00,362,Clothing,Viewed,Reminder,2024-03-19 07:49:00,No
7546,2024-03-26 18:46:00,105,Electronics,Viewed,Reminder,2024-03-26 17:29:00,Yes
2986,2024-01-02 01:04:00,593,Grocery,Viewed,New Arrival,2024-01-02 00:31:00,Yes
9338,2024-03-02 22:06:00,992,Clothing,Viewed,New Arrival,2024-03-02 20:18:00,Yes
3911,2024-03-06 14:26:00,388,Books,Viewed,New Arrival,2024-03-06 12:58:00,No
2734,2024-01-11 10:14:00,669,Clothing,Viewed,New Arrival,2024-01-11 09:25:00,Yes
2843,2024-03-03 01:13:00,756,Electronics,Viewed,Discount,2024-03-03 00:28:00,Yes
9680,2024-03-21 12:50:00,977,Grocery,Viewed,Reminder,2024-03-21 11:02:00,No
3976,2024-02-18 21:01:00,653,Grocery,Viewed,New Arrival,2024-02-18 19:40:00,Yes
2959,2024-03-09 08:19:00,449,Clothing,Viewed,Reminder,2024-03-09 07:51:00,Yes
6759,2024-01-25 06:53:00,299,Grocery,Viewed,New Arrival,2024-01-25 05:38:00,No
7694,2024-03-10 23:01:00,785,Electronics,Viewed,Discount,2024-03-10 21:13:00,Yes
3385,2024-02-28 08:12:00,996,Grocery,Viewed,Reminder,2024-02-28 07:06:00,No
5736,2024-01-31 23:07:00,434,Grocery,Viewed,Discount,2024-01-31 22:30:00,Yes
2802,2024-01-11 03:41:00,706,Grocery,Viewed,Reminder,2024-01-11 03:35:00,No
9155,2024-01-27 17:09:00,316,Electronics,Viewed,Discount,2024-01-27 16:48:00,No
9120,2024-02-09 13:45:00,722,Books,Viewed,New Arrival,2024-02-09 12:10:00,No
7616,2024-01-15 09:30:00,452,Grocery,Viewed,New Arrival,2024-01-15 08:21:00,No
6534,2024-02-11 07:10:00,791,Books,Viewed,Discount,2024-02-11 05:57:00,Yes
5061,2024-01-01 07:05:00,774,Clothing,Viewed,New Arrival,2024-01-01 06:56:00,Yes
1262,2024-03-27 19:38:00,730,Clothing,Viewed,Discount,2024-03-27 18:59:00,No
7287,2024-03-06 17:26:00,424,Electronics,Viewed,Discount,2024-03-06 17:14:00,Yes
9815,2024-03-20 17:19:00,327,Electronics,Viewed,Reminder,2024-03-20 16:28:00,No
3049,2024-03-06 12:09:00,244,Electronics,Viewed,Discount,2024-03-06 10:39:00,No
6423,2024-01-24 23:22:00,407,Electronics,Viewed,Reminder,2024-01-24 23:06:00,No
5548,2024-03-29 11:07:00,753,Books,Viewed,Discount,2024-03-29 09:20:00,No
4108,2024-02-15 13:32:00,733,Electronics,Viewed,Reminder,2024-02-15 13:14:00,No
8158,2024-03-10 08:31:00,384,Books,Viewed,Reminder,2024-03-10 06:58:00,Yes
8400,2024-01-17 06:16:00,491,Grocery,Viewed,New Arrival,2024-01-17 05:04:00,No
4170,2024-02-16 05:02:00,837,Grocery,Viewed,Reminder,2024-02-16 04:26:00,No
3255,2024-03-24 01:39:00,459,Clothing,Viewed,Reminder,2024-03-23 23:46:00,Yes
2154,2024-01-10 16:27:00,868,Clothing,Viewed,Discount,2024-01-10 15:31:00,No
5499,2024-03-20 05:40:00,896,Books,Viewed,Reminder,2024-03-20 05:13:00,No
7295,2024-02-26 21:59:00,264,Electronics,Viewed,New Arrival,2024-02-26 20:40:00,No
7197,2024-01-28 03:57:00,832,Clothing,Viewed,Discount,2024-01-28 02:52:00,Yes
2648,2024-03-17 14:39:00,680,Books,Viewed,Reminder,2024-03-17 12:56:00,No
6539,2024-02-28 03:48:00,920,Clothing,Viewed,Discount,2024-02-28 03:07:00,Yes
5199,2024-02-16 05:00:00,323,Electronics,Viewed,Discount,2024-02-16 03:06:00,Yes
9445,2024-02-25 10:18:00,223,Books,Viewed,Discount,2024-02-25 08:50:00,Yes
3557,2024-01-19 02:31:00,443,Clothing,Viewed,Discount,2024-01-19 01:47:00,Yes
6592,2024-01-14 21:52:00,950,Electronics,Viewed,Discount,2024-01-14 20:30:00,No
1098,2024-02-04 00:49:00,623,Books,Viewed,Reminder,2024-02-04 00:15:00,No
3200,2024-03-10 09:43:00,151,Books,Viewed,Discount,2024-03-10 08:06:00,Yes
3961,2024-01-15 16:54:00,228,Books,Viewed,Discount,2024-01-15 15:23:00,No
5973,2024-02-19 02:17:00,234,Grocery,Viewed,New Arrival,2024-02-19 01:19:00,Yes
5433,2024-03-27 18:57:00,756,Books,Viewed,New Arrival,2024-03-27 18:22:00,No
3869,2024-03-11 20:56:00,226,Clothing,Viewed,Discount,2024-03-11 20:24:00,Yes
1956,2024-03-24 23:05:00,837,Books,Viewed,Reminder,2024-03-24 21:40:00,No
9352,2024-02-18 06:34:00,170,Books,Viewed,New Arrival,2024-02-18 05:52:00,No
6699,2024-03-24 14:28:00,372,Books,Viewed,New Arrival,2024-03-24 13:44:00,No
7944,2024-01-01 01:14:00,286,Books,Viewed,Discount,2024-01-01 00:47:00,Yes
5493,2024-02-24 12:24:00,102,Books,Viewed,Reminder,2024-02-24 11:25:00,No
5911,2024-01-30 12:07:00,384,Grocery,Viewed,Reminder,2024-01-30 10:50:00,No
4987,2024-02-14 11:22:00,121,Electronics,Viewed,New Arrival,2024-02-14 10:39:00,Yes
7015,2024-01-02 18:32:00,265,Grocery,Viewed,New Arrival,2024-01-02 18:29:00,Yes
2218,2024-01-11 04:22:00,409,Clothing,Viewed,New Arrival,2024-01-11 02:25:00,No
5496,2024-03-25 13:38:00,974,Electronics,Viewed,New Arrival,2024-03-25 12:09:00,No
5735,2024-02-03 00:56:00,576,Clothing,Viewed,New Arrival,2024-02-03 00:38:00,Yes
5555,2024-03-20 23:35:00,597,Books,Viewed,Discount,2024-03-20 22:12:00,No
9050,2024-03-30 16:28:00,533,Clothing,Viewed,Discount,2024-03-30 14:29:00,Yes
4446,2024-03-16 16:48:00,857,Grocery,Viewed,Discount,2024-03-16 16:47:00,No
2045,2024-03-14 10:25:00,333,Grocery,Viewed,New Arrival,2024-03-14 09:07:00,No
7893,2024-01-28 23:46:00,936,Books,Viewed,Discount,2024-01-28 22:45:00,Yes
2693,2024-01-22 19:05:00,769,Books,Viewed,New Arrival,2024-01-22 19:04:00,Yes
4436,2024-01-06 06:32:00,762,Electronics,Viewed,Reminder,2024-01-06 04:36:00,No
9754,2024-01-22 22:11:00,824,Grocery,Viewed,Reminder,2024-01-22 22:09:00,No
6895,2024-03-20 22:02:00,475,Grocery,Viewed,Discount,2024-03-20 20:35:00,No
4354,2024-02-21 15:24:00,829,Electronics,Viewed,Reminder,2024-02-21 15:01:00,No
1225,2024-03-27 04:38:00,345,Grocery,Viewed,Reminder,2024-03-27 03:45:00,No
5893,2024-01-08 04:02:00,402,Electronics,Viewed,Reminder,2024-01-08 02:50:00,No
8022,2024-01-08 19:06:00,504,Grocery,Viewed,Discount,2024-01-08 17:11:00,Yes
6600,2024-03-07 14:52:00,887,Clothing,Viewed,Reminder,2024-03-07 13:22:00,No
8996,2024-02-14 05:39:00,762,Clothing,Viewed,Discount,2024-02-14 04:08:00,No
8683,2024-03-15 06:37:00,807,Electronics,Viewed,New Arrival,2024-03-15 05:34:00,No
5642,2024-01-07 07:11:00,120,Electronics,Viewed,New Arrival,2024-01-07 05:33:00,Yes
8679,2024-03-30 00:26:00,356,Books,Viewed,Discount,2024-03-29 23:35:00,Yes
9208,2024-03-10 05:33:00,498,Grocery,Viewed,Discount,2024-03-10 04:24:00,Yes
8339,2024-02-18 11:42:00,628,Clothing,Viewed,Reminder,2024-02-18 11:31:00,No
3205,2024-03-10 16:59:00,150,Books,Viewed,New Arrival,2024-03-10 15:18:00,No
2069,2024-01-12 10:43:00,546,Grocery,Viewed,Reminder,2024-01-12 08:50:00,No
4444,2024-01-12 16:28:00,369,Clothing,Viewed,New Arrival,2024-01-12 15:04:00,Yes
2060,2024-03-01 01:14:00,926,Grocery,Viewed,Reminder,2024-02-29 23:50:00,No
3327,2024-02-13 06:16:00,694,Electronics,Viewed,Reminder,2024-02-13 06:06:00,Yes
4420,2024-03-27 04:25:00,917,Clothing,Viewed,New Arrival,2024-03-27 03:16:00,Yes
1301,2024-02-20 01:03:00,735,Clothing,Viewed,Reminder,2024-02-20 00:59:00,No
1606,2024-01-16 00:43:00,901,Books,Viewed,New Arrival,2024-01-15 22:48:00,Yes
4170,2024-01-25 03:01:00,361,Grocery,Viewed,Discount,2024-01-25 01:14:00,Yes
1699,2024-02-18 00:43:00,464,Electronics,Viewed,Reminder,2024-02-17 22:58:00,No
6088,2024-03-20 09:51:00,148,Electronics,Viewed,New Arrival,2024-03-20 08:25:00,Yes
1190,2024-02-25 05:07:00,617,Grocery,Viewed,New Arrival,2024-02-25 04:10:00,Yes
1980,2024-02-08 12:21:00,728,Grocery,Viewed,Reminder,2024-02-08 10:54:00,No
3975,2024-03-28 18:40:00,217,Electronics,Viewed,New Arrival,2024-03-28 18:24:00,No
7102,2024-01-20 06:40:00,552,Grocery,Viewed,Reminder,2024-01-20 05:54:00,No
2184,2024-03-25 13:14:00,874,Books,Viewed,Reminder,2024-03-25 11:29:00,No
